gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
AKAP6,0.029810626,7.16298E-06,0,0
AKAP7,0.009306877,3.29221E-06,0,0
AKAP8,0.014566185,3.75213E-06,0,0
AKAP8L,0.009835888,2.26733E-06,0,0
AKAP9,0.054926338,1.93445E-05,0.001563032,1.20387E-06
AKIP1,0.00722836,3.07861E-06,0,0
AKIRIN1,0.002775751,1.10463E-06,0,0
AKIRIN2,0.003375534,9.48438E-07,0,0
AKNA,0.028244998,7.09896E-06,0,0
AKNAD1,0.015701186,4.36395E-06,0,0
AKR1A1,0.006488782,1.84689E-06,0,0
AKR1B1,0.00488854,1.00021E-06,0,0
AKR1B10,0.006587678,2.10176E-06,0,0
AKR1B15,0.007740511,2.12669E-06,0,0
AKR1C1,0.008507446,2.56653E-06,0,0
AKR1C2,0.009064573,3.55886E-06,0,0
AKR1C3,0.011253798,3.1034E-06,0,0
AKR1C4,0.006611176,1.51697E-06,0,0
AKR1D1,0.003026595,2.36139E-07,0.000189777,8.3641E-09
AKR1E2,0.007447252,1.63567E-06,0,0
AKR7A2,0.008946644,2.46629E-06,0,0
AKR7A3,0.007215804,1.48278E-06,0,0
AKR7L,0.009956556,2.67346E-06,0,0
AKT1,0.001994686,1.38952E-07,0,0
AKT1S1,0.005090753,1.13541E-06,0,0
AKT2,0.006824045,1.85345E-06,0,0
AKT3,0.000833417,3.0679E-08,0,0
AKTIP,0.003018332,5.98193E-07,0,0
AL163636.6,0.00013303,1.51562E-09,0.000280127,3.48857E-08
AL441883.1,0.002354623,9.62828E-07,0,0
AL445989.1,0.005050949,1.50554E-06,0,0
AL583828.1,0.002177943,4.70286E-07,0,0
ALAD,0.003898784,4.66446E-07,0.000080821,1.82414E-09
ALAS1,0.008765847,1.96705E-06,0,0
ALAS2,0.006155879,1.94782E-06,0.001014321,5.67534E-07
